doc-id,timestamp,time,lang,start,end,spot,title,id,link_probability,rho
doc2,2017-04-12T16:30:02,1380,en,228,243,lower 48 states,Contiguous United States,83759,0.15625,0.2572113275527954
doc2,2017-04-12T16:30:02,1380,en,250,262,Death Valley,Death Valley,46797,0.4044803977012634,0.30273300409317017
doc2,2017-04-12T16:30:02,1380,en,267,278,Yellowstone,Yellowstone National Park,34340,0.15072202682495117,0.20350731909275055
doc2,2017-04-12T16:30:02,1380,en,333,341,projects,Public housing,177912,0.0013790195807814598,0.055025603622198105
doc2,2017-04-12T16:30:02,1380,en,345,358,South Florida,South Florida,996451,0.24625267088413239,0.24708136916160583
doc2,2017-04-12T16:30:02,1380,en,388,397,vanishing,Mariah Carey (album),1220730,0.0177244134247303,0.011188315227627754
doc2,2017-04-12T16:30:02,1380,en,412,419,network,Television network,36937,0.012238459661602974,0.04723381623625755
doc2,2017-04-12T16:30:02,1380,en,423,431,wetlands,Wetland,102024,0.12273790687322617,0.1957831233739853
doc2,2017-04-12T16:30:02,1380,en,436,443,forests,United States National Forest,42653,0.007743082009255886,0.14652028679847717
doc2,2017-04-12T16:30:02,1380,en,444,447,fed,Federal Reserve System,10819,0.004207405261695385,0.12881478667259216
doc2,2017-04-12T16:30:02,1380,en,453,458,river,River,18842395,0.030226554721593857,0.09483183920383453
doc2,2017-04-12T16:30:02,1380,en,459,466,flowing,Fluid dynamics,11034,0.00116776954382658,0.023098159581422806
doc2,2017-04-12T16:30:02,1380,en,474,489,Lake Okeechobee,Lake Okeechobee,458462,1.0,0.6258642673492432
doc2,2017-04-12T16:30:02,1380,en,495,506,Florida Bay,Florida Bay,600519,0.8901098966598511,0.5733927488327026
doc3,2017-04-12T16:30:03,808,it,4,20,liberty a Milano,Liberty milanese,3595813,0.6666666865348816,0.399246484041214
doc3,2017-04-12T16:30:03,808,it,24,27,usa,Stati Uniti d'America,1563740,0.2646154463291168,0.14198142290115356
doc3,2017-04-12T16:30:03,808,it,39,49,esperienza,Esperienza,96420,0.013456296175718307,0.04546520859003067
doc3,2017-04-12T16:30:03,808,it,55,62,omonimo,Omonimia,471033,0.08806782215833664,0.06586168706417084
doc3,2017-04-12T16:30:03,808,it,91,101,ambrosiana,Rito ambrosiano,1593504,0.14254385232925415,0.14734038710594177
doc3,2017-04-12T16:30:03,808,it,114,118,anni,Anno,322,0.0017334094736725092,0.06821084767580032
doc3,2017-04-12T16:30:03,808,it,123,132,Novecento,XX secolo,10118,0.39308154582977295,0.33555537462234497
doc3,2017-04-12T16:30:03,808,it,138,145,scoppio,Esplosione,15090,0.006498313508927822,0.04178619012236595
doc3,2017-04-12T16:30:03,808,it,152,173,prima guerra mondiale,Prima guerra mondiale,3531,0.9862104058265686,0.5997759103775024
doc3,2017-04-12T16:30:03,808,it,199,208,capoluogo,Viterbo,4466,0.11172595620155334,0.15481984615325928
doc3,2017-04-12T16:30:03,808,it,199,217,capoluogo lombardo,Milano,1241244,0.09976798295974731,0.13739879429340363
doc3,2017-04-12T16:30:03,808,it,209,217,lombardo,Lombardia,2560203,0.12351474165916443,0.1668308824300766
doc3,2017-04-12T16:30:03,808,it,225,238,stile liberty,Art Nouveau,74397,0.36927223205566406,0.33957821130752563
doc3,2017-04-12T16:30:03,808,it,246,252,grazie,Grazia (teologia),372987,0.002868873765692115,0.05876011401414871
doc3,2017-04-12T16:30:03,808,it,258,265,stretto,Stretto di Messina,3920,0.0203295536339283,0.111416757106781
doc3,2017-04-12T16:30:03,808,it,266,272,legame,Legame chimico,2670934,0.017365043982863426,0.029367633163928986
doc3,2017-04-12T16:30:03,808,it,280,288,rampante,Attributi araldici di azione,796407,0.05236907675862312,0.04606970399618149
doc3,2017-04-12T16:30:03,808,it,289,298,borghesia,Borghesia,12225,0.2261107712984085,0.2406812608242035
doc3,2017-04-12T16:30:03,808,it,299,310,industriale,Industria,10347,0.014153804630041122,0.13813060522079468
doc3,2017-04-12T16:30:03,808,it,316,321,epoca,XVI secolo,10110,0.007173496764153242,0.12346689403057098
doc3,2017-04-12T16:30:03,808,it,326,333,fertile,Fertilità (agricoltura),1474794,0.009430255740880966,0.07946963608264923
doc3,2017-04-12T16:30:03,808,it,334,341,terreno,Suolo,21082,0.01404585875570774,0.08002939820289612
doc3,2017-04-12T16:30:03,808,it,349,355,rapido,Treno rapido,1483723,0.00881386362016201,0.02897828444838524
doc3,2017-04-12T16:30:03,808,it,356,364,sviluppo,Indice di sviluppo umano,54843,0.004543465096503496,0.08831562846899033
doc3,2017-04-12T16:30:03,808,it,372,376,vide,Jacobus Vide,1646696,1.0,0.5
doc3,2017-04-12T16:30:03,808,it,407,418,art nouveau,Art Nouveau,74397,1.0,0.6549420952796936
doc3,2017-04-12T16:30:03,808,it,419,427,floreale,Art Nouveau,74397,0.02600472792983055,0.16794446110725403
doc3,2017-04-12T16:30:03,808,it,428,436,francese,Lingua francese,16750,0.19217269122600555,0.1486131250858307
doc3,2017-04-12T16:30:03,808,it,442,452,jugendstil,Art Nouveau,74397,0.931034505367279,0.6204593181610107
doc3,2017-04-12T16:30:03,808,it,454,461,tedesco,Germania nazista,11388,0.4621792435646057,0.2956596612930298
doc3,2017-04-12T16:30:03,808,it,464,467,all,Carlo Allioni,65756,0.0022484674118459225,0.023643767461180687
doc3,2017-04-12T16:30:03,808,it,468,478,eclettismo,Eclettismo,236007,0.7558528184890747,0.4842793941497803
